timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662384434064,4,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,1
1662384434069,1,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434071,1,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434073,2,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
1662384434076,1,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434078,1,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434079,2,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,1
1662384434081,11,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,11,0,1
1662384434093,4,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,0
1662384434098,3,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434102,3,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434106,3,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434110,3,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
1662384434113,5,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,1
1662384434119,5,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,0
1662384434125,6,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,6,0,1
1662384434132,4,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,0
1662384434137,4,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,1
1662384434968,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434974,2,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,1
1662384434977,8,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,8,0,0
1662384434986,3,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434990,2,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
1662384434993,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434995,3,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,3,0,0
1662384434999,5,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,0
1662384435005,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435007,13,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,13,0,0
1662384435021,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435022,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384435024,2,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
1662384435026,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384435029,0,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,0,0,0
1662384435030,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435032,0,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,0,0,0
1662384435033,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384435034,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384435036,1,homepage,200,OK,10.128.2.131-Thread Group 1-2,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434036,1,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434038,1,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434040,5,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,5,0,0
1662384434046,1,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
